date,cumulative_pnl
2026-01-20,6221437.817307688
2026-01-21,13187563.644230762
2026-01-22,20173687.519230753
2026-01-23,25997873.15384613
2026-01-24,32949128.74038459
2026-01-25,38815979.7884615
2026-01-26,46550119.596153796
2026-01-27,54239296.817307636
2026-01-28,61764217.2115384
