vessel_class,cargo_capacity_m3,laden_speed_kn,ballast_speed_kn,boil_off_pct_per_day,fuel_consumption_tpd_laden,fuel_consumption_tpd_ballast
TFDE,174000,19.5,20.5,0.10,130,110
MEGI,174000,19.5,20.5,0.07,95,80
